Names,Call,Category,GTIRT17,start_time,end_time,count
OPERATOR:,thanks,none,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
CALLER:,all right cheers thanks bye,none,GTIRT17-00491,2017-06-14 01:28:26,2017-06-14 01:29:32,20
CALLER:,hello is that the fire brigade,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,yes it is can i help,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,right listen love there s a fire going on in grenfell tower i m in the towerblock,Fire,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,right listen to me we ve got a number of machines there already we ve,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,pardon me,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,we ve got a lot of fire engines already there dealing with it whereabouts are you,Flat,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,i m on the fourteenth floor it s right on it s coming right past my window from next door,Floor,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,right the fire s actually on the fourth floor,Floor,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,it s on the fourteenth,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,no it s on the fourth one two three four,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,well i m on one fourteen,Floor,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,what flat number are what number are you eleven4,Flat,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,no i m eleven i m on the fourteenth floor grenfell tower love,Flat,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,right have you got smoke coming into your property or have you just got it coming up outside,Smoke,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,it s right outside my window,Smoke,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,right okay listen for the time being the best thing you can do is stay in your flat unless you can get ou safely if it means using the stairwells which are filled with smoke you re better off staying where you are,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,well love love this is really important love,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,yeah there s six fire listen listen to me,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,love yeah i m listening love,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,right listen there s eight fire engines there there s another two on the way,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,you re telling me to stay in and it s right outside my window love,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,if it s safe for you to leave then leave i m not there so i can t see the situation if it s safe for you to leave i m just saying the stairwells may be filled with smoke so if it s safe,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,all right,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,listen listen if there s no smoke coming into your flat at the moment the safest place,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,no i ve shut every window,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,right so there s nothing coming into you no,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,no there s fire inaudible all in my house all on my side i am not burning,Fire,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,no okay so what i m asking is there is any smoke in your flat,Smoke,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,yeah i can smell it,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,you will be able to smell it but is there anything inside,Smoke,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,no,Smoke,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,right so in so the safest thing for you to do for now is to stay where you are i will pass a message to the crews to say that you are in your flat number eleven1 on the fourteenth floor overspeaking,Flat,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,yeah yeah,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,come they can get they will get up to you when they can they will,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,no love i can t even get out love on my,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,right so stay where right listen stay where you are,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,i can t get out,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,right you need to listen,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,smoke i can t get out i m tried to open the door and there s a lot of smoke inaudible,Smoke,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,right so there s no smoke coming in so you re safe where you are for now okay,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,all right all right,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,i ll let the crews know that you are in there and when they can they will get up and come and check on you okay,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,all right all right,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,and listen if anything changes and smoke comes in give us a call back,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,all right all right,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,yeah okay so stay put for now but if anything changes or it worsens call us back,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,the alarms are going off now do you hear them,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,they will do i can hear them all right i ll let them know you re there,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,all right all right all right all right,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,listen how many are there of you,People,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,all right all right,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,in your flat,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,what,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,how many people are in your flat,People,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,just me there s smoke coming in my flat now,Smoke,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,all right all right stay where you are,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,it s coming from the landing huh,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,all right all right i ve got put the phone i ve got put the phone it s getting worse,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,yeah go and block the door okay and i ll tell the crews where you are,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,all right all right all right,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,all right,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,all right i ve got to put the phone down love,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,yeah okay call us back if it gets worse okay,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
CALLER:,all right all right all right,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,okay bye bye,none,GTIRT17-00492,2017-06-14 01:25:16,2017-06-14 01:29:13,65
OPERATOR:,fire brigade hello,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,yes hi good evening i m calling from the grenfell tower london w eleven tg,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,yeah,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,we do having the fire in the building we re living on the twelfth floor can you please give me advice what shall we do because we can see the fire coming trough the window,Fire,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,is it inaudible is it inaudible court,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,no it s the lancaster west estate,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,lancaster,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,yeah,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,lancaster yeah we re already on our way to that,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,yes but i need to know i ve got a inaudible because i heard that it s the floors below inaudible next door my neighbour she s saying the fire in her kitchen already i have two kids we really don t know what to do,Fire,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,yeah have you got any smoke coming into your property,Smoke,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,yes it s coming through the floor from our main door because it s outside,Smoke,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,okay are you able to put something down on the floor then are you able to put a towel down or some sheets down something like that to stop the smoke coming in,Smoke,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,yes yes,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,that s what you need to do to stop the smoke coming in and as i say what flat number are you,Flat,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,it s ninety five we re on the twelfth floor,Flat,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,you re at ninety five twelfth floor,Flat,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,yeah,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,okay then i ll tell them on the radio and you re flat ninety five on the twelfth floor,Flat,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,okay thank you,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,okay,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,it s it the normal the towels or the wet towels,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,sorry i can t sorry i can t hear you,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,is it the normal towels or the wet towels,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,it doesn t say it s at flat sixteen in the grenfell towers,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,no no no we re on the floor twelfth twelfth,Floor,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,yeah but i m telling you listen i m just telling you where the actual fire is okay so it s flat sixteen,Flat,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,it s inaudible sixteen but it already came to twelfth she s saying that she s telling that she was shouting that she s having the fire in the kitchen,Fire,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,yeah that s right and the fire brigade are on the scene okay,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,okay,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
OPERATOR:,okay all right then thank you then all right thank you then bye bye,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,thank you,none,GTIRT17-00495,2017-06-14 01:26:58,2017-06-14 01:29:08,32
CALLER:,hi there s a fire in grenfell tower,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,yeah we re already there,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,we re all stuck on the top floor the doors are not open,Floor,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,sorry,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,we re all stuck on the top floor the doors won t open,Floor,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,right is there any smoke where you are,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,well the whole place inaudible smoke,Smoke,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,is there any smoke where you are now,Smoke,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,yes there s smoke everywhere you need to get right to the top,Smoke,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,okay the fire s on the fifth floor so you re well away from the fire okay,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,no it s not it s in our flat we ran out of our flat it s broken into our kitchen,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,right is there a fire on your floor or is it smoke overspeaking,Fire,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,yes there s inaudible fire,Fire,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,there s a fire on the twentieth floor as well,Fire,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,inaudible,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,okay right,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,severalinaudiblewords fire,Fire,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,right we exactly are you in the building,Floor,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,i m on the twenty third floor,Floor,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,yeah okay are you in a room are you in a flat,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,yeah we run into someone we run into our neighbours flat severalinaudiblewords crying,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,can you close any doors to stop the smoke coming through,Smoke,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,yeah but severalinaudiblewords crying,Smoke,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,right are you able to stop the smoke coming into the flat using any blankets any towels anything inaudible,Smoke,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,inaudible,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,hello,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,hello,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,message on four possible on the inaudible floor as well right are you able to stop the coming into that flat,Smoke,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
CALLER:,inaudible,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,hello hello we re going to get somebody to come up and help you okay hello hello hello operator is this line open,none,GTIRT17-00496,2017-06-14 01:30:00,2017-06-14 01:32:37,30
OPERATOR:,fire brigade hello inaudible,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
CALLER:,there s there s a fire i m on the twenty second floor,Floor,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
OPERATOR:,yeah is it grenfell tower,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
CALLER:,yeah yeah,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
OPERATOR:,yeah we re we re on our way to that already,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
CALLER:,yes i can see ya darling yeah,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
OPERATOR:,okay we re on our way,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
CALLER:,but it s terrible up here,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
OPERATOR:,just yeah just,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
CALLER:,you can t see a hand in front of ya,Smoke,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
OPERATOR:,listen just make sure that you put some erm towels and things down to stop the smoke coming in okay,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
CALLER:,all right then darling thank you,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
OPERATOR:,all right then thank you for your call,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
CALLER:,i ll tell all the rest all right,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
OPERATOR:,okay then all right,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
CALLER:,thank you bye,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
OPERATOR:,overspeaking,none,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
CALLER:,twenty second yeah thank you bye,Floor,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
OPERATOR:,twenty secondth thank you,Floor,GTIRT17-00499,2017-06-14 01:30:08,2017-06-14 01:31:08,19
OPERATOR:,fire brigade,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,hello it s from grenfell tower,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,yeah,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,and severalinaudiblewords the twenty second floor,Floor,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,you re on the twenty two,Floor,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,yes and there s all smoke now,Smoke,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,yeah we are you need to get to the window and get some fresh air okay,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,yeah,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,i ll let them know you re up there,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,so can you make sure we re,People,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,yeah overspeaking,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,like can you actually do you know actually which floor it s a fire there s a fire,Floor,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,it s a block a flat on the fourth floor a light,Floor,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,yeah well our neighbour told us it s actually from inaudible,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,oh i see okay yeah well we are there and i ll let them know you re on the twentieth but you ve just got some smoke up there you re okay,Floor,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,overspeaking,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,though yeah,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,yeah we are still we are in the neighbour s house now,People,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,oh okay all right well it is on the twentieth you re on the twentieth it s on the fourth,Floor,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,the twenty second floor,Floor,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,twenty secondth,Floor,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,twenty second floor yeah,Floor,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,all right okay,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,overspeaking,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,we are there all right i ll let them know thank you,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,thank you so,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,okay bye,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,overspeaking the flat sorry do we stay in the flat,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,well i obviously can t really advise you but i ll let the firemen know you re there okay,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,okay,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,all right,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,okay thanks,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
OPERATOR:,thank you bye,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,bye,none,GTIRT17-00501,2017-06-14 01:30:38,2017-06-14 01:32:00,34
CALLER:,overspeaking,none,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
OPERATOR:,hello fire brigade,none,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
CALLER:,hi there s a fire in my block it s right next door to my building,Fire,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
OPERATOR:,are you in which are you in grenfell tower,none,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
CALLER:,grenfell tower one hundred seventy five grenfell tower,Flat,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
OPERATOR:,are you in grenfell tower or are you in,none,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
CALLER:,what do i do,none,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
OPERATOR:,right listen are you in grenfell or are you in the one overspeaking,none,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
CALLER:,yeah i am i am it s in my it s my neighbour s,Fire,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
OPERATOR:,right it s you re so are you on the fourth floor where the flat is,Floor,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
CALLER:,no i m in i m on the seventeenth i m on the twentieth oh my gosh inaudible,Floor,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
OPERATOR:,so you re on the seventeenth floor the floor it s actually,Floor,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
CALLER:,the twentieth the twentieth,Floor,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
OPERATOR:,you re on the twentieth floor the fire is actually,Floor,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
CALLER:,yeah overspeaking,none,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
OPERATOR:,actually on a floor below you,none,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
CALLER:,oh it s below us okay because the smoke s,Smoke,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
OPERATOR:,overspeaking,none,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
CALLER:,coming into my flat what do i do,Smoke,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
OPERATOR:,okay you need to is it if you the best thing you can do for now is if you can stay in your flat unless it s safe to leave,none,GTIRT17-00512,2017-06-14 01:30:02,2017-06-14 01:32:42,81
